facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Amravati,8.0,3,Low,Yes,450,5,2026-01-01
F002,Nagpur,6.0,5,Medium,Yes,700,12,2026-01-02
F003,Pune,9.0,2,Low,Yes,300,3,2026-01-03
F004,Mumbai,7.0,4,Medium,No,850,18,2026-01-04
F005,Nashik,7.0,4,Medium,Yes,600,10,2026-01-05
F006,Amravati,9.0,2,Low,Yes,380,4,2026-01-06
F007,Nagpur,5.0,6,High,No,920,25,2026-01-07
F008,Pune,8.0,3,Low,Yes,520,7,2026-01-08
F009,Mumbai,6.0,5,Medium,Yes,1100,22,2026-01-09
F010,Nashik,8.0,3,Low,Yes,480,6,2026-01-10
F011,Amravati,7.0,4,Medium,Yes,650,9,2026-01-11
F012,Nagpur,4.0,7,High,No,980,30,2026-01-12
F013,Pune,9.0,2,Low,Yes,420,4,2026-01-13
F014,Mumbai,6.0,6,High,No,1250,28,2026-01-14
F015,Nashik,8.0,3,Low,Yes,560,7,2026-01-15
F016,Amravati,7.0,4,Medium,Yes,550,8,2026-01-16
F017,Nagpur,7.0,3,Low,Yes,400,6,2026-01-17
F018,Pune,8.0,4,Medium,Yes,730,11,2026-01-18
F019,Pune,7.0,4,Medium,Yes,600,10,2026-01-19
F020,Mumbai,8.0,4,Low,Yes,500,7,2026-01-20
F021,Delhi,7.0,3,High,Yes,610,15,2026-01-21
F022,Nashik,6.0,4,Medium,Yes,600,10,2026-01-22
F023,Pune,8.0,2,Low,Yes,10000,4,2026-01-23
F025,Amravati,8.0,3,Low,Yes,450,5,2026-01-25
F026,Amravati,7.0,4,Medium,Yes,600,10,2026-01-26
F027,Nagpur,6.0,5,Medium,Yes,780,14,2026-01-27
F028,Pune,9.0,2,Low,Yes,350,3,2026-01-28
F029,Mumbai,5.0,7,High,No,1350,35,2026-01-29
F030,Nashik,7.0,4,Medium,Yes,620,11,2026-01-30
F031,Amravati,8.0,3,Low,Yes,470,6,2026-01-31
F032,Nagpur,5.0,6,High,No,890,24,2026-02-01
F033,Pune,8.0,3,Low,Yes,540,8,2026-02-02
F034,Mumbai,6.0,5,Medium,Yes,1050,20,2026-02-03
F035,Nashik,9.0,2,Low,Yes,390,4,2026-02-04
F036,Amravati,7.0,4,Medium,Yes,680,12,2026-02-05
F037,Nagpur,6.0,5,Medium,No,820,19,2026-02-06
F038,Pune,8.0,3,Low,Yes,460,6,2026-02-07
F039,Mumbai,5.0,6,High,No,1180,27,2026-02-08
F040,Nashik,8.0,3,Low,Yes,510,7,2026-02-09
F041,Amravati,9.0,2,Low,Yes,330,3,2026-02-10
F042,Nagpur,4.0,7,High,No,960,29,2026-02-11
F043,Pune,7.0,4,Medium,Yes,690,13,2026-02-12
F044,Mumbai,6.0,5,Medium,No,1280,31,2026-02-13
F045,Nashik,8.0,3,Low,Yes,570,8,2026-02-14
F046,Amravati,7.0,4,Medium,Yes,610,10,2026-02-15
F047,Nagpur,5.0,6,High,No,910,26,2026-02-16
F048,Pune,9.0,2,Low,Yes,410,4,2026-02-17
F049,Mumbai,7.0,5,Medium,Yes,1020,18,2026-02-18
F050,Nashik,6.0,4,Medium,Yes,640,12,2026-02-19
F051,Amravati,8.0,3,Low,Yes,490,6,2026-02-20
F052,Nagpur,6.0,5,Medium,No,870,21,2026-02-21
F053,Pune,8.0,3,Low,Yes,530,7,2026-02-22
F054,Mumbai,5.0,7,High,No,1210,30,2026-02-23
F055,Nashik,9.0,2,Low,Yes,370,3,2026-02-24
F056,Amravati,7.0,4,Medium,Yes,720,13,2026-02-25
F057,Nagpur,5.0,6,High,No,940,27,2026-02-26
F058,Pune,8.0,3,Low,Yes,580,8,2026-02-27
F059,Mumbai,6.0,5,Medium,Yes,1080,23,2026-02-28
F060,Nashik,7.0,4,Medium,Yes,660,11,2026-03-01
F061,Amravati,9.0,2,Low,Yes,360,4,2026-03-02
F062,Nagpur,4.0,7,High,No,990,32,2026-03-03
F063,Pune,8.0,3,Low,Yes,510,6,2026-03-04
F064,Mumbai,6.0,6,High,No,1150,26,2026-03-05
F065,Nashik,8.0,3,Low,Yes,590,7,2026-03-06
F066,Amravati,7.0,4,Medium,Yes,630,9,2026-03-07
F067,Nagpur,5.0,6,High,No,880,24,2026-03-08
F068,Pune,9.0,2,Low,Yes,400,3,2026-03-09
F069,Mumbai,7.0,5,Medium,Yes,1000,19,2026-03-10
F070,Nashik,6.0,4,Medium,Yes,610,10,2026-03-11
F071,Amravati,8.0,3,Low,Yes,440,5,2026-03-12
F072,Nagpur,5.0,7,High,No,930,28,2026-03-13
F073,Pune,8.0,3,Low,Yes,560,7,2026-03-14
F074,Mumbai,6.0,5,Medium,No,1120,25,2026-03-15
F075,Nashik,9.0,2,Low,Yes,380,4,2026-03-16
F076,Amravati,7.0,4,Medium,Yes,670,11,2026-03-17
F077,Nagpur,6.0,6,High,No,850,22,2026-03-18
F078,Pune,8.0,3,Low,Yes,500,6,2026-03-19
F079,Mumbai,5.0,7,High,No,1300,34,2026-03-20
F080,Nashik,8.0,3,Low,Yes,550,7,2026-03-21
