facility_id,location,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
F101,Downtown,85.5,2.1,Low,2,1200,4,0
F102,Suburbs,60.0,7.5,High,12,450,24,1
F103,Uptown,90.2,1.0,Low,1,1500,2,0
F104,Downtown,40.1,8.9,Critical,25,300,48,1
F105,Suburbs,75.0,4.0,Medium,5,800,12,0
F106,Uptown,55.0,6.5,High,10,950,30,1
F107,Downtown,95.0,0.5,Low,0,1800,1,0
F108,Suburbs,48.0,8.0,Critical,18,400,36,1
F109,Uptown,82.0,2.5,Low,2,1350,5,0
F110,Downtown,68.5,5.2,Medium,7,1050,16,1
F111,Suburbs,88.0,1.8,Low,1,900,3,0
F112,Uptown,52.5,7.2,High,14,700,28,1
F113,Downtown,91.0,1.2,Low,0,1600,2,0
F114,Suburbs,63.0,6.8,High,11,600,22,1
F115,Uptown,78.5,3.5,Medium,4,1100,10,0
F116,Downtown,45.0,8.5,Critical,21,350,42,1
F117,Suburbs,84.0,2.2,Low,2,1000,5,0
F118,Uptown,58.0,6.9,High,13,850,26,1
F119,Downtown,73.5,4.5,Medium,6,1250,14,0
F120,Suburbs,42.0,9.1,Critical,23,500,45,1
F121,Uptown,87.5,1.5,Low,1,1400,3,0
F122,Downtown,57.0,7.0,High,15,750,27,1
F123,Suburbs,79.0,3.8,Medium,4,950,9,0
F124,Uptown,38.5,9.3,Critical,26,280,50,1
F125,Downtown,92.5,0.9,Low,0,1700,2,0
F126,Suburbs,65.5,5.8,Medium,8,820,15,1
F127,Uptown,81.0,2.7,Low,2,1300,5,0
F128,Downtown,50.0,7.8,High,16,680,32,1
F129,Suburbs,89.5,1.7,Low,1,1150,3,0
F130,Uptown,46.5,8.7,Critical,20,420,40,1
F131,Downtown,76.0,3.9,Medium,5,1450,11,0
F132,Suburbs,54.0,6.4,High,12,720,25,1
F133,Uptown,94.0,0.8,Low,0,1650,1,0
F134,Downtown,61.5,7.1,High,13,580,29,1
F135,Suburbs,83.0,2.9,Low,2,980,6,0
F136,Uptown,43.0,8.8,Critical,24,310,46,1
F137,Downtown,72.0,4.2,Medium,6,1180,13,0
F138,Suburbs,59.5,6.7,High,11,640,23,1
F139,Uptown,86.5,1.4,Low,1,1550,2,0
F140,Downtown,47.0,8.2,Critical,19,390,38,1
F141,Suburbs,77.5,3.6,Medium,4,870,10,0
F142,Uptown,56.5,7.4,High,14,920,31,1
F143,Downtown,90.0,1.1,Low,0,1750,2,0
