facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,inspection_date,hygiene_risk
FAC0001,Mumbai,Bus Station,6.75,1.23,3.48,0,91,3,44,2026-02-14,Medium
FAC0002,Nashik,Hospital,6.31,1.29,1.84,0,278,19,2,2026-08-03,Medium
FAC0003,Pune,Public Toilet,2.98,6.3,8.28,0,408,5,45,2026-05-23,High
FAC0004,Akola,Bus Station,2.4,9.61,4.03,0,214,3,23,2026-05-16,High
FAC0005,Mumbai,Bus Station,8.26,7.57,5.83,1,60,17,19,2026-07-05,Medium
FAC0006,Nagpur,College,6.2,7.34,1.41,0,415,9,6,2026-07-14,Medium
FAC0007,Akola,Office,3.5,6.72,4.28,1,201,6,43,2026-02-06,Medium
FAC0008,Mumbai,Office,6.48,2.54,7.56,0,256,12,18,2026-04-23,Medium
FAC0009,Pune,Public Toilet,7.16,8.59,7.98,0,440,1,21,2026-02-03,Medium
FAC0010,Pune,Office,2.9,9.49,8.89,1,128,20,32,2026-08-23,High
FAC0011,Nashik,Railway Station,2.29,2.26,7.7,1,402,18,28,2026-07-05,High
FAC0012,Nagpur,Office,2.97,9.98,5.59,0,406,1,8,2026-03-23,Medium
FAC0013,Akola,Bus Station,8.13,4.8,1.57,1,325,14,34,2026-01-06,Medium
FAC0014,Amravati,Public Toilet,7.12,2.03,8.96,1,413,20,22,2026-08-11,High
FAC0015,Amravati,Office,2.42,1.03,7.5,1,276,5,33,2026-06-02,Medium
FAC0016,Nashik,College,8.58,5.57,2.79,1,410,5,35,2026-06-15,Medium
FAC0017,Nashik,College,5.4,2.01,4.27,1,142,1,16,2026-02-13,Low
FAC0018,Nagpur,Public Toilet,7.59,8.34,9.8,0,85,15,36,2026-09-28,High
FAC0019,Mumbai,Office,8.85,4.81,2.91,0,385,9,26,2026-07-11,Medium
FAC0020,Nashik,Bus Station,4.94,5.66,2.09,0,52,10,2,2026-04-28,Medium
FAC0021,Akola,College,6.3,1.06,7.37,0,137,2,3,2026-09-21,Medium
FAC0022,Pune,Hospital,3.14,7.02,2.93,0,390,18,37,2026-08-31,High
FAC0023,Pune,Office,8.27,2.71,1.87,1,201,13,27,2026-01-28,Low
FAC0024,Nagpur,Hospital,7.06,9.86,1.89,1,392,10,7,2026-04-08,Medium
FAC0025,Nashik,College,5.83,2.26,2.65,1,147,2,29,2026-01-26,Low
FAC0026,Pune,Railway Station,6.87,5.87,1.13,0,494,7,11,2026-09-04,Medium
FAC0027,Pune,Public Toilet,2.92,4.61,1.53,1,21,12,17,2026-08-05,Medium
FAC0028,Nagpur,College,7.27,7.57,8.05,1,99,6,19,2026-02-01,Medium
FAC0029,Nagpur,College,7.73,1.51,6.26,0,49,16,6,2026-02-04,Medium
FAC0030,Nashik,College,7.08,3.12,2.08,0,316,19,3,2026-08-03,Medium
FAC0031,Akola,Railway Station,6.92,6.09,3.85,1,124,10,16,2026-03-09,Medium
FAC0032,Nashik,College,7.05,3.7,3.85,0,24,14,40,2026-02-07,Medium
FAC0033,Akola,Public Toilet,5.84,5.55,2.19,1,471,2,16,2026-03-22,Low
FAC0034,Mumbai,College,4.94,5.89,3.72,0,361,17,20,2026-03-10,High
FAC0035,Nagpur,Office,3.38,9.01,7.68,0,159,9,39,2026-06-25,High
FAC0036,Mumbai,Railway Station,2.83,6.71,3.38,1,148,1,6,2026-05-22,Medium
FAC0037,Mumbai,Railway Station,1.4,4.0,2.18,1,102,14,36,2026-01-05,Medium
